game_id,season,week,home_team,away_team,y_true,y_pred,vegas_home_line,home_covered,model_pick_home_ats,ats_correct,vegas_ats_correct,agrees_with_book
2010_09_MIA_BAL,2010,9,BAL,MIA,16.0,4.540322295545033,5.0,1,0,0,1,0
2010_09_CHI_BUF,2010,9,BUF,CHI,-3.0,-0.6325435227895483,-3.0,0,1,0,1,0
2010_09_NO_CAR,2010,9,CAR,NO,-31.0,-7.606835691531235,-5.5,0,0,1,1,1
2010_09_NE_CLE,2010,9,CLE,NE,20.0,-4.561792085960392,-4.0,1,0,0,0,1
2010_09_NYJ_DET,2010,9,DET,NYJ,-3.0,-2.496070718416892,-5.5,1,1,1,0,0
2010_09_SD_HOU,2010,9,HOU,SD,-6.0,-0.4213230398730252,-3.0,0,1,0,1,0
2010_09_ARI_MIN,2010,9,MIN,ARI,3.0,5.780062649257994,7.0,0,0,1,0,0
2010_09_NYG_SEA,2010,9,SEA,NYG,-34.0,-1.8171479826472807,-7.0,0,1,0,1,0
2010_09_KC_OAK,2010,9,OAK,KC,3.0,4.658622817043404,-1.0,1,1,1,0,0
2010_09_IND_PHI,2010,9,PHI,IND,2.0,1.7118695376858728,3.5,0,0,1,0,0
2010_09_DAL_GB,2010,9,GB,DAL,38.0,9.12842068918105,7.0,1,1,1,1,1
2010_09_PIT_CIN,2010,9,CIN,PIT,-6.0,-2.353917762356632,-5.0,0,1,0,1,0
2010_10_BAL_ATL,2010,10,ATL,BAL,5.0,4.690301528804177,1.0,1,1,1,1,1
2010_10_DET_BUF,2010,10,BUF,DET,2.0,2.242308993571651,1.5,1,1,1,1,1
2010_10_MIN_CHI,2010,10,CHI,MIN,14.0,-0.710509328869949,1.0,1,0,0,1,0
2010_10_NYJ_CLE,2010,10,CLE,NYJ,-6.0,-1.0503007538403706,-3.5,0,1,0,1,0
2010_10_CIN_IND,2010,10,IND,CIN,6.0,6.599989852837823,6.5,0,1,0,0,1
2010_10_HOU_JAX,2010,10,JAX,HOU,7.0,0.8190460407093858,1.0,1,0,0,1,0
2010_10_TEN_MIA,2010,10,MIA,TEN,12.0,-0.7008237293932125,1.0,1,0,0,1,0
2010_10_CAR_TB,2010,10,TB,CAR,15.0,5.468759781645,7.0,1,0,0,1,0
2010_10_KC_DEN,2010,10,DEN,KC,20.0,-4.011385022576355,-1.0,1,0,0,0,1
2010_10_SEA_ARI,2010,10,ARI,SEA,-18.0,1.6668740710798744,3.5,0,0,1,0,0
2010_10_DAL_NYG,2010,10,NYG,DAL,-13.0,13.337191497188904,11.5,0,1,0,0,1
2010_10_STL_SF,2010,10,SF,STL,3.0,4.659439864276388,4.5,0,1,0,0,1
2010_10_NE_PIT,2010,10,PIT,NE,-13.0,0.4114472612237094,4.5,0,0,1,0,0
2010_10_PHI_WAS,2010,10,WAS,PHI,-31.0,-4.285787520804038,-3.5,0,0,1,1,1
2010_11_CHI_MIA,2010,11,MIA,CHI,-16.0,3.854828077210573,2.5,0,1,0,0,1
2010_11_BAL_CAR,2010,11,CAR,BAL,-24.0,-7.034394990042528,-13.0,0,1,0,1,0
2010_11_BUF_CIN,2010,11,CIN,BUF,-18.0,4.129717432880057,4.0,0,1,0,0,1
2010_11_DET_DAL,2010,11,DAL,DET,16.0,5.784741099116309,5.0,1,1,1,1,1
2010_11_CLE_JAX,2010,11,JAX,CLE,4.0,3.8734330229102416,2.5,1,1,1,1,1
2010_11_ARI_KC,2010,11,KC,ARI,18.0,5.891142332364895,7.0,1,0,0,1,0
2010_11_GB_MIN,2010,11,MIN,GB,-28.0,-6.774059730838777,-3.0,0,0,1,1,1
2010_11_HOU_NYJ,2010,11,NYJ,HOU,3.0,4.730479847361504,6.5,0,0,1,0,0
2010_11_OAK_PIT,2010,11,PIT,OAK,32.0,5.026344970904082,7.0,1,0,0,1,0
2010_11_WAS_TEN,2010,11,TEN,WAS,-3.0,11.738864655948824,7.0,0,1,0,0,1
2010_11_SEA_NO,2010,11,NO,SEA,15.0,10.06322039771735,11.0,1,0,0,1,0
2010_11_TB_SF,2010,11,SF,TB,-21.0,0.6891657503826665,3.5,0,0,1,0,0
2010_11_ATL_STL,2010,11,STL,ATL,-17.0,-8.323274169245114,-3.5,0,0,1,1,1
2010_11_IND_NE,2010,11,NE,IND,3.0,5.18863260685537,4.0,0,1,0,0,1
2010_11_NYG_PHI,2010,11,PHI,NYG,10.0,3.024787497559505,3.5,1,0,0,1,0
2010_11_DEN_SD,2010,11,SD,DEN,21.0,11.933680359257991,9.0,1,1,1,1,1
2010_12_NE_DET,2010,12,DET,NE,-21.0,-4.266250862372193,-6.0,0,1,0,1,0
2010_12_NO_DAL,2010,12,DAL,NO,-3.0,-3.3835440730794946,-4.5,1,1,1,0,0
2010_12_CIN_NYJ,2010,12,NYJ,CIN,16.0,9.922556567822893,10.0,1,0,0,1,0
2010_12_GB_ATL,2010,12,ATL,GB,3.0,4.015178500585908,2.5,1,1,1,1,1
2010_12_PIT_BUF,2010,12,BUF,PIT,-3.0,-2.4648770559835,-6.5,1,1,1,0,0
2010_12_CAR_CLE,2010,12,CLE,CAR,1.0,10.713710338355089,9.0,0,1,0,0,1
2010_12_TEN_HOU,2010,12,HOU,TEN,20.0,-1.350518091553638,5.0,1,0,0,1,0
2010_12_JAX_NYG,2010,12,NYG,JAX,4.0,6.246974084065763,8.0,0,0,1,0,0
2010_12_MIN_WAS,2010,12,WAS,MIN,-4.0,-4.466961697168987,-1.0,0,0,1,1,1
2010_12_MIA_OAK,2010,12,OAK,MIA,-16.0,2.446299431117196,3.0,0,0,1,0,0
2010_12_KC_SEA,2010,12,SEA,KC,-18.0,-0.9747238798367484,-1.0,0,1,0,1,0
2010_12_TB_BAL,2010,12,BAL,TB,7.0,11.06889299468714,7.5,0,1,0,0,1
2010_12_PHI_CHI,2010,12,CHI,PHI,5.0,-0.7006954255014369,-3.0,1,1,1,0,0
2010_12_STL_DEN,2010,12,DEN,STL,-3.0,6.181809615156551,3.0,0,1,0,0,1
2010_12_SD_IND,2010,12,IND,SD,-22.0,5.840044758892216,2.0,0,1,0,0,1
2010_12_SF_ARI,2010,12,ARI,SF,-21.0,1.3754877540238102,-1.0,0,1,0,1,0
2010_13_HOU_PHI,2010,13,PHI,HOU,10.0,8.68040058671179,8.5,1,1,1,1,1
2010_13_NO_CIN,2010,13,CIN,NO,-4.0,-6.521336518565028,-6.5,1,0,0,0,1
2010_13_CHI_DET,2010,13,DET,CHI,-4.0,-1.8471184956993696,-5.0,1,1,1,0,0
2010_13_SF_GB,2010,13,GB,SF,18.0,14.506081186300811,9.0,1,1,1,1,1
2010_13_DEN_KC,2010,13,KC,DEN,4.0,6.834230751189409,9.0,0,0,1,0,0
2010_13_CLE_MIA,2010,13,MIA,CLE,-3.0,2.6797459423095438,6.0,0,0,1,0,0
2010_13_BUF_MIN,2010,13,MIN,BUF,24.0,5.462618152291634,5.0,1,1,1,1,1
